aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;33>;34>;36>;38>;41>;46>;48>;49>;1>46>;1>46>2>;2>1>;2>2>;2>2>31>;2>7>;2>14>;2>14>31>;2>30>;2>31>;2>31>30>;2>38>;2>41>;2>46>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 31>30>;2 41>;6>6>;6 14>;7>5>;7>6>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 41>;14 41>2>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17>30>14>;17>30>31>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>2>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;31 48>;33 36>;34>36>;36>34>;36>36>;36>36>34>;36>36>36>;38>2>;38>14>;38>33>;38>38>;38>41>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>2>;48>14>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;
13342-4130;;6;;;;;16;1;4;;19;17;;;;3;10;;7;3;;;;;;;;;1;1;1;1;;;2;;1;;;;;1;1;1;;;;;;;;;;;;;;6;;2;;;;3;1;1;1;6;;4;;3;;4;1;1;;2;5;;1;1;1;3;1;1;1;2;;;3;1;1;1;;;;3;;1;1;1;;2;5;;;;3;7;;;;1;1;;;3;1;1;;1;1;1;1;;2;;;;1;;1;;;;;;;;;;;1;1;1;;;3;1;;;3;2;2;1;;;2;1;;2;1;
19850-6398;;2;;;3;4;16;;5;;16;9;;;;2;4;;;;;;;;;;1;;;;;;;;2;;;1;1;1;1;1;;1;1;2;;1;1;3;1;;;;;;1;3;;1;;;;;;;;7;;1;;2;1;4;;1;;1;3;;;;;;;;;2;1;;5;2;;2;;;;3;1;;;;;;1;;;;;3;;;1;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;
18700-5469;1;14;1;;;2;27;;1;;4;8;2;1;6;8;15;1;1;1;;;;5;;1;1;;;2;1;2;;1;5;2;1;;;1;1;;;1;;;;;;2;;7;2;1;;;2;3;;1;1;;2;3;2;;;;;;;;;2;;;2;1;10;1;1;;2;;;;;1;1;;1;1;1;1;;;;2;1;1;1;1;;;;;1;1;;;;;;;1;1;1;2;;;;1;1;1;1;;;;1;1;;;;;;1;4;1;2;;;2;3;;2;1;2;;3;1;;3;3;1;2;1;;;;;;;;
21340-5468;;19;;;;3;11;;3;;13;18;2;1;5;8;17;;;;;;;2;;2;;;2;4;;;1;;7;1;;;1;5;2;4;2;8;;;;;1;;;2;;;;1;;;;;;;;1;;;;;;;;;;2;;1;;;8;2;;;1;;;;;1;;;3;1;1;;;;;1;;;;;;;1;1;;;;5;;1;1;;2;;;2;;;;;;;;1;1;;2;;4;;;1;1;1;;;;1;;;;2;5;5;;;;;;;2;;;;;;;;;;;
18297-6388;;1;;;1;1;10;;4;;10;6;;;;2;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;;;;;;2;;;;;;1;1;;;1;;;;;;1;;;;;3;;;;;;;;;3;2;;1;;;2;;2;2;2;;;;;;;;;;;;;;;;;;;;3;;;;2;;;;;;;1;;1;1;;;;;;;;;;;;;;;;1;2;1;1;1;1;1;1;1;;;;;;;;
18201-4605;;8;1;;3;1;24;1;1;;16;16;;;;;9;;;;;;;;;;1;1;;1;1;;;;6;;1;;;;;;;;;1;;1;;;;2;;1;;1;;8;;5;2;1;;;;;;7;;3;1;2;1;4;;2;;;8;;2;2;;;;1;1;1;;;;;;1;;1;1;2;;1;1;;;;4;1;;;;3;;1;1;;1;;;6;;1;;2;1;1;;1;1;;1;;2;;;;;;;;;;;;;;;;;1;2;2;1;;;;;;;;;;;;;
13564-6388;1;18;;;;2;33;2;8;;32;33;3;2;5;7;18;4;5;1;;;;3;1;;2;1;2;6;2;;2;;3;1;1;1;1;1;4;3;2;1;;;;;2;1;1;7;1;1;3;;;15;1;6;1;2;1;2;1;;;13;2;7;3;1;2;5;1;1;;3;5;;2;;;1;1;;1;4;1;;4;2;5;2;;5;2;8;;5;4;2;;2;9;3;;;2;3;1;;3;2;;3;2;14;3;1;3;5;3;3;2;3;3;;;2;3;;;2;;2;2;2;1;1;2;1;;1;;2;1;;4;1;;1;1;;;;;1;;;2;;;
18208-6389;1;2;;;;;10;;2;;8;8;1;1;2;3;3;2;7;;1;1;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;4;;3;2;;;;;;;1;;1;1;;;2;1;1;;;2;;;;;2;;;;;;;1;;;;;1;;2;;1;;;;;1;1;;;1;1;;;;1;;;;4;;;;2;1;;;1;1;1;;2;2;;;1;1;1;;;;;1;;;;;;;;1;1;;;;;;;1;1;1;;1;;;
19904-4605;;4;;;;;28;1;7;;25;21;;;;3;11;;1;;;;;1;;;1;1;;;;;1;;4;1;;1;1;;1;1;;;;;;;;;;1;;1;;;2;9;;1;;;2;1;;;;11;;2;;2;2;6;1;1;;1;6;;1;1;;;;1;1;2;;1;7;2;;4;2;;;3;1;;;;1;;3;1;1;1;;4;;1;3;1;;;;2;;;;;;;;;1;1;;;4;;1;;;;;;;;1;;;;;;;;1;1;;;1;;1;;;;;;;;;
10088-5714;;9;1;;2;4;12;1;4;1;12;13;1;1;2;2;4;;5;;;;;2;;3;;;;2;2;;;;2;;;;;;;2;;;;;;1;1;1;;2;1;;1;1;;1;;;;;1;2;;1;;3;1;;;;;2;1;;;1;1;;;;1;;1;1;;3;;2;1;1;3;;;2;2;6;;3;3;1;1;1;3;;;;1;1;1;;;1;2;;;5;1;;1;2;2;2;1;;1;;1;1;;;1;;;1;1;1;1;;1;1;2;;;1;;;;;;;2;;1;;;;2;2;1;1;1;
17356-5388;;16;;6;;3;37;2;2;1;21;23;2;1;4;6;34;;4;;;;;1;1;;2;1;1;3;;;4;;3;;;;;;1;1;1;3;;;2;;;;1;6;;1;2;;1;9;1;4;2;;1;7;1;2;1;4;1;1;;1;;3;;1;1;1;11;;3;1;1;1;1;1;1;2;1;1;;;1;6;1;1;1;5;1;1;1;;1;;2;1;2;1;2;4;1;1;3;;1;2;;11;;3;1;3;;;;;2;2;3;;5;2;;1;;1;1;1;1;;2;1;;;2;2;2;2;6;3;2;2;8;1;4;;;2;;;;1;;
11848-6398;1;9;1;;3;3;30;2;2;2;7;12;1;1;4;7;4;1;7;;1;1;;;;;;;;;;;;;5;;;;;1;;;;1;;2;;;;2;;3;;;;;1;4;;3;1;;1;;;;;2;;1;1;;;6;3;1;1;4;4;;;;;2;1;;;1;;1;1;1;;2;1;;;4;2;;;;1;;2;1;;;;;;;;;;1;;3;;;;1;;;;;4;2;;2;1;;1;;1;;1;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;
