aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>14>;2>30>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>31>30>30>30>30>;2>41>;2 14>;2 14>2>;2 14>31>;2 14>31>30>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 30 31>;2 31>;2 31>30>;2 41>;6>6>;6>6>6>;6>31>;6 7>;6 14>;6 30>;6 31>;6 41>;6 48>;7>5>;7 14>;7 41>;14>2>;14>2>2>;14>2>31>;14>2>31>30>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>31>30>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;17 30>30>14>;17 30>30>30>;30>2>;30>2>31>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>14>31>;30>30>17>;30>30>17>30>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>14>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>30>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;30>48>30>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 48>;32>31>;41>2>;41>2>31>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>30>;48>31>;48>48>;49>49>;
14034-6398;;1;;;;;9;;;;4;;1;8;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;4;;;3;6;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;;;;;;;;;2;;2;;;;;;;
18267-4130;;5;;;4;2;16;2;3;12;20;2;;9;;1;;;;;;1;1;;;;;1;2;;;;1;;1;1;;2;1;1;;;3;;1;1;1;;;;1;;1;;;;1;;6;4;2;2;2;;;1;1;;;;;5;;2;1;;;1;;4;;;;3;;;1;1;;1;;1;;1;;2;1;;2;2;1;;;;3;1;2;2;2;1;3;1;1;2;1;2;;;;;;;;;;1;1;;3;2;1;;;;;;;3;;;;;;1;6;2;;;3;2;;;;;;;;3;;;;;;2;;1;;;;;;;;;;3;;1;;;;;;;
22212-4604;1;10;;;;1;27;2;4;22;26;;;6;2;6;4;4;2;1;1;;4;2;1;1;1;;3;;1;;1;;;2;;2;;;;;;;;;;;;;;;3;2;;;;;9;5;;3;1;1;;;;;;;1;9;1;3;3;2;;1;;10;3;1;1;2;;;;1;1;1;;1;1;;;2;;2;1;;;;2;;2;;1;;2;2;6;1;1;1;1;3;1;2;1;;;;;;1;1;;1;5;3;2;1;;1;;1;;3;;;;;3;1;9;1;;;5;3;2;;;;;;;6;2;2;1;;;2;;;;;;;;1;;;;1;;1;;;1;1;3;2;
21788-5469;;8;;3;;2;9;;3;7;6;;;7;;1;;;;;;;2;1;;;;;1;;1;1;;;;;;2;;3;;;;;;;;;;1;1;;2;;1;;1;;2;1;;;;;;;;;;;;4;1;;;;;1;1;1;;;1;3;;;;1;;;;;;;;;;;3;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;1;1;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;;;1;;;;;;1;;;
13342-5468;1;11;;1;;2;29;2;5;15;21;;;25;1;3;2;2;1;;2;;5;4;2;;;3;6;1;1;1;;;;;;;;1;;;;;;;;;;1;1;;3;;2;1;;1;7;5;;5;2;2;2;1;8;1;2;1;1;5;;2;2;2;2;;;8;3;1;3;10;1;1;3;1;;1;;;;2;1;2;;1;4;1;;;1;;1;1;;;1;1;8;;;1;1;4;;4;;4;2;2;1;1;;;;;2;2;2;2;;3;;1;;1;;;;1;;1;9;;;;7;4;4;4;2;2;1;;;4;1;1;4;3;;3;;;3;1;;1;1;3;3;3;2;7;1;2;;1;;;;1;
21598-4604;;3;;;8;2;11;2;3;19;16;;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;2;3;1;;;;;1;;;;;;;;4;2;;;;;;;;;;;;5;;2;1;;;1;1;2;;;1;1;;;;;;1;1;1;1;1;;2;;;2;1;;;1;;1;;;;2;2;6;;;1;1;5;;5;;3;2;2;1;1;;;;;4;3;1;;;;;;;2;;1;1;;;;7;1;1;1;3;2;2;1;1;1;;;;2;1;1;;;;2;;;;;;;;;;;;;;;;;;;;;
22418-4130;;7;;2;2;2;24;1;2;20;21;;1;10;;3;;;;;;2;2;1;1;1;1;;2;;1;;1;;;2;1;2;2;2;;;;;2;;;;1;1;;;;;;;2;1;15;8;;2;2;2;2;;;;;;;11;;7;3;;;1;;3;2;2;;3;1;;;1;;1;1;;;;;2;;;1;1;;;1;1;2;;2;2;;;4;2;2;;;4;1;4;;3;1;1;1;1;;;;;8;4;;;;;;;;2;1;;;;1;;11;;;;3;3;3;2;1;1;1;1;1;2;2;;1;1;;2;;;;;;2;1;2;;;;1;;;;;1;;;;
21393-4605;;14;;;6;5;23;1;11;35;23;;1;19;1;6;1;2;1;;2;;5;2;;;;;6;1;2;1;2;2;3;3;3;3;;5;1;;;2;1;;2;1;;;1;2;2;;1;;;;5;2;1;;;;;;6;1;3;2;;10;1;2;;;2;2;1;3;;;2;7;1;1;2;;;1;;1;1;;;6;;3;10;5;;3;2;1;1;;;;1;1;6;;;;;4;;1;;1;;;;;;;;;3;;;;;3;2;3;2;6;;2;4;;1;;5;1;;;1;1;;;;;;;;2;1;;1;1;3;3;;;3;2;;2;;2;2;1;1;6;;3;1;;3;1;;;
15494-5714;;14;2;;2;5;30;2;1;17;20;1;1;24;;1;;3;1;1;;1;6;4;1;;;4;7;;;;;1;1;;;2;1;2;;;;;1;;;1;;;;1;3;1;1;1;3;;4;3;1;1;;;;;7;2;;;;7;1;2;1;;2;;;4;;;;10;1;1;1;;;;;1;;1;;;;;;;;;2;;1;;;;1;;6;;;;;1;;1;;;;;;;;;;;3;1;;;;3;;;;1;1;;;;1;;10;1;1;;4;1;1;;;;;1;;;;;3;2;;2;;;5;2;2;1;;3;2;1;1;3;;2;1;;;;;;
15669-6398;;2;;;2;1;8;1;2;9;7;2;;4;;7;1;;;;;;1;;;;;;1;;1;;;;;1;;;;1;;;;;;;;;2;;;;;;;;1;;5;3;;3;2;1;;;;;;;;3;;2;1;1;;;;;;;;2;1;1;;2;;1;1;;;;;1;;;1;;;;;;1;;;;1;1;4;1;;;;3;1;2;1;1;1;1;1;;1;1;1;;4;3;2;1;;;;;;1;;;1;1;;;5;;1;1;4;3;2;1;1;1;1;1;1;;;;;;1;;1;2;;;1;;;2;1;1;1;;;;;;;1;;;
