aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;46>;48>;49>;2>2>;2>2>14>;2>2>31>;2>2>41>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>32>;2>32>31>;2>32>31>31>;2>41>;2>41>41>;2 3>;2 14>;2 14>2>;2 14>31>;2 14>32>;2 14>32>31>;2 14 31>;2 14 41>;2 31>;2 41>;3>2>;3>32>;3 14>;5 14>;6>6>;6>6>6>;6>6>6>6>;6>6>48>;6>48>;6 14>;6 41>;6 48>;7>5>;7>14>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>3>32>;14>7>;14>7>31>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>32>31>31>30>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14 30>;14 30>31>;14 30>31>30>;14 30>32>;14 30>32>31>;14 30>32>31>30>;14 30 31>;14 31>;14 31>2>;14 31>31>;14 31>32>;14 31>32>31>;14 31>41>;14 31 41>;14 32>;14 41>;14 41>3>;14 41>31>;14 41>41>;14 41>41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>3>;30>14>;30>14>2>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>32>31>30>;30>41>;30>48>;30>48>30>;30 31>;30 31>14>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>32>;31>32>31>;31>41>;31>41>41>;31>48>;31 41>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;32>31>31>30>;32>32>;41>2>;41>2>41>;41>3>;41>7>;41>14>;41>30>;41>31>;41>41>;41>41>2>;41>41>14>;41>41>31>;41>41>41>;41>41>41>14>;41>41>41>41>;41>41>41>41>41>;48>30>;48>48>;48>48>48>;49>49>;49>49>49>;
22256-4605;;2;;2;;2;;10;1;;;1;7;;5;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;1;3;2;;;;;;;;;;;;;;;1;;;;;;;4;;1;;;;;;3;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;;;;;;;;;;;;;;1;1;;1;;;;1;1;;;;;;;;;;;;
18201-4605;;5;4;;;;;24;;;;16;19;21;2;;;2;2;;1;;;1;;1;;;2;1;1;;;;3;;;2;1;;;1;;1;2;2;;;;;;;;;;;;;;;1;1;;;1;;1;;;;1;;1;;;;16;12;5;3;1;;;;;;8;1;1;5;3;2;1;6;;;5;5;;;1;1;;;;;;1;;;;;;;;;;;2;1;1;;;2;1;1;1;1;;6;4;;5;3;2;;;;2;;;;;3;;7;;1;;;3;3;4;;1;;5;5;;;;1;14;5;1;3;1;1;;;;;1;;;;;;;;;;;;;;1;1;
19904-4605;2;10;;;2;2;;15;1;1;3;8;10;;10;2;6;4;2;1;;1;;2;1;;;;;;;2;;;5;1;;;;1;1;1;2;;;;;2;;;2;2;;;1;;;;1;1;2;1;1;;;;;;;;4;;2;;;;;;;;;1;;1;1;1;2;;;;;;;2;;1;;;;1;;2;;;;;;2;1;1;1;;;1;;;;;;1;;;;2;;1;1;1;1;3;1;;;;;;;;;;;1;1;;;3;1;;;;;;1;;;;;;1;;2;3;;;;;;;1;;;;;;;1;;;;1;;1;1;1;2;;1;1;
22946-7274;;2;1;;4;1;1;9;2;;;6;10;1;3;;4;;1;1;;;;1;;1;1;;;;;;;1;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;1;;;;;;1;;;2;;1;;1;;1;;;;;1;;;;;1;1;;;;;;4;;;;;;1;;1;;;;;;;1;1;;1;1;;;;;;;;;;;;;;;;;3;;;;;;;1;1;;;;1;1;;;4;;;;;1;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;
17356-5388;;;;2;;2;1;21;;;;8;12;8;10;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;2;;;;;;;;;;;;2;;;;;;5;5;2;2;1;3;;1;1;;4;;;2;2;;;3;;1;;;1;;3;5;;1;1;;;3;;;;;;;;;;;;;;;;3;;1;1;;;;;;2;2;;;;;;;;;;;;5;;3;1;1;;;3;;1;1;;;2;1;;2;6;3;1;2;1;1;;;;;;1;2;3;;;;1;;;;;;;3;3;
18081-5468;;1;;;;;;7;1;;;8;6;3;3;;1;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;1;2;1;;;3;2;1;;;;;;;;4;2;1;2;1;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;2;;1;1;1;1;3;2;;2;1;1;1;1;;;;1;;;1;1;3;;1;;;1;1;;;;;;;;;;;2;1;;;;;;;;;;;1;2;;;1;1;;;;;;;;;
13179-5388;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18163-4605;;2;1;;;;;7;;1;;10;9;8;2;;1;;1;;;;;;;;;;2;2;2;;;;1;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;1;1;;;3;3;2;1;1;;;;;;5;1;1;3;3;2;;;;;;;;;1;1;;;;;1;;;;;;;1;1;1;;;1;;;;;3;;;;;;2;2;1;4;4;2;;;;1;;;;;;;5;;2;;;;;3;;1;;;;1;;;;7;3;1;3;1;1;;;;;;;;;;;;;;;;;;;;;
18571-4604;;1;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18926-4605;;5;1;;;2;;8;1;1;;5;6;;4;;;;;;;;;;;1;;;;;;1;1;;3;;;;;1;;1;;1;;;;;;;;;;;;;1;;2;1;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;2;1;;;;;;2;;;;;;;;1;1;;;;;;1;1;1;;;;;;;1;;;;;;3;;1;;;;2;1;1;;;;;;;1;;1;;;;;2;;1;1;;;;;;;;;;1;;;;;;;;;;1;1;1;;;1;;2;;;;1;;1;1;;;;;;
