aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>31>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 41>;2 30>;2 31>;2 41>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>31>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>38>;30>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 41>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>31>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41 48>;46>2>;48>14>;48>30>;48>48>;49>49>;
13511-6389;2;19;1;;6;4;75;1;7;45;43;2;5;3;10;23;1;71;2;7;1;2;2;1;1;4;4;2;1;2;1;6;;2;;1;;1;7;;1;;1;1;2;;3;;26;16;11;8;4;3;4;2;18;4;;18;8;5;4;5;;;4;2;1;2;1;8;2;28;5;2;3;1;;;1;1;;;4;;3;4;;3;1;22;2;2;18;12;10;5;4;3;3;12;7;6;2;7;1;;;;;;;;30;1;1;21;17;11;10;5;4;2;6;5;3;6;4;2;3;;1;2;3;2;1;;1;;2;2;5;1;6;4;6;;15;8;5;3;3;19;3;7;2;1;1;1;1;2;;
18163-6398;;3;;4;3;3;25;;4;13;9;;2;;3;9;;17;;;;;;;;;;;;1;;2;;;;1;;;1;;2;1;;1;1;;1;1;3;2;;;;;;1;2;1;;7;;;;1;1;1;3;;2;1;2;8;2;10;1;1;;;;;;;;;2;;;;;2;;;;;;;;;;;;1;;;;1;;1;;;1;;;;4;;1;;;;;;;1;;;;;;;3;;;;;;;;;1;;;;;2;;1;;1;1;;;1;2;;;;;;;;;;
13005-6398;;7;;;;6;28;1;;13;17;1;;1;3;4;;23;;2;;;;1;;;;;;;;2;;;;;;2;2;;;;2;2;;;;1;7;4;3;1;;;1;;2;2;;7;2;2;2;;;1;5;2;1;;;4;;9;1;;1;;;;;;;;;;;2;2;;;5;1;;2;;;;;;1;3;3;3;;;1;;;;1;;1;2;8;1;;5;2;;;;;1;2;2;1;;;;3;1;;;;;;;;;;;1;;;2;1;1;3;1;;;;7;2;2;1;;;;1;;;
22475-4605;;4;;;;;26;;2;21;19;;1;1;14;12;;17;;;;;;1;;;;;;1;;;;;;;1;1;1;;;;;;2;;;1;5;4;2;1;1;1;;;1;1;;6;2;2;1;;1;;3;1;;;4;3;1;6;;;1;;;;;;;;2;;;1;1;;;3;;;1;1;1;1;1;;;3;2;1;1;;;4;;2;2;;;2;8;;;2;1;1;1;1;1;;3;1;;;;;6;1;1;;2;2;2;2;;2;1;1;;1;4;;2;1;1;1;;;1;1;;1;;;;;;;;
11091-6388;;14;;;7;7;37;1;5;45;44;1;2;;2;8;1;30;1;20;;;;1;1;;4;;;;;5;1;;2;1;5;4;2;1;1;;;;3;2;2;2;10;6;2;1;;;1;3;5;2;;17;5;3;1;1;1;1;4;1;2;1;;2;;5;1;;;2;;;1;3;1;1;3;2;1;6;3;1;;15;2;;7;4;3;1;1;1;2;8;5;1;1;3;10;5;;1;1;3;;;16;2;;7;4;1;1;;;1;5;2;;2;2;2;10;3;;;;;;;;;1;;1;;3;1;;3;4;1;1;1;1;6;;3;;2;;;6;2;;
22305-5468;;4;;;;;31;;8;25;21;;1;;3;6;;5;1;7;3;;;1;1;;3;2;;;;3;;2;1;;1;;;;;;;;1;;;2;16;12;5;3;1;;1;2;1;;3;9;4;4;1;;;;5;3;1;;1;3;;4;1;;;5;;;;4;2;1;1;;1;6;1;6;4;10;2;4;4;1;;;;;;5;5;2;;;;1;1;;;;1;;16;2;1;8;3;1;;;;1;5;3;2;;;;1;;1;;1;1;1;1;1;2;;1;1;;;;;;1;;;;1;;;;;1;;2;1;1;3;
13420-6398;3;30;4;2;1;5;100;5;13;54;62;;4;3;19;15;;56;5;13;12;2;3;3;1;3;8;5;2;6;;16;1;3;1;1;1;1;3;1;;2;1;1;5;3;2;2;34;16;9;6;6;5;3;5;14;4;6;22;10;6;3;3;;;14;6;5;2;1;4;2;23;3;2;5;5;3;1;4;4;;1;10;3;3;6;1;2;1;20;1;1;11;11;8;4;4;3;1;13;7;3;1;5;1;1;;;;1;;5;29;3;1;17;11;11;8;4;4;1;13;5;2;6;3;1;5;;2;3;8;7;5;3;2;1;1;2;1;2;3;8;2;1;9;7;7;5;1;15;3;7;3;1;2;2;;3;4;
21911-4130;;;2;;;;17;;1;10;11;;1;1;26;10;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;;;;;1;2;;;;6;2;;;;;1;1;;;1;3;1;;4;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;3;;;4;;;1;;1;2;;;1;3;;;1;;;;;;;1;;;;;;3;;;1;9;6;3;;1;;2;;2;1;3;;;;;;;;;;;;;;;;;;;
22222-4130;4;13;1;;;;49;4;9;41;41;1;;1;5;3;;22;6;16;3;1;2;1;;2;3;1;1;;2;5;;2;;1;1;2;3;;;;;;3;;;;12;4;1;;;;2;1;4;1;;17;4;2;1;2;4;;13;2;3;;;;;11;2;;2;5;3;1;1;5;;1;5;2;;;;1;1;8;;1;3;2;;;;;1;7;2;1;1;4;4;9;1;;;4;1;2;10;;;2;1;1;;;;1;8;2;1;3;2;3;6;;;1;1;1;;;;;2;1;1;;;;;1;3;;;;;3;;1;1;;1;;2;2;1;
18070-6388;;2;;4;10;5;12;1;1;7;9;;;;;;;5;;4;6;;;;;;;;;;;1;;;;;;1;;1;4;2;2;;;;1;;1;;;;;;;;;;1;2;;;;;1;;4;;1;;;;;3;;;;3;;;;;;;1;;;;;;;3;;;1;;;;;;;1;;;;;;1;1;;;;;1;3;;;1;;;;;;1;;;;;;;2;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;2;
15818-5469;1;13;1;;4;6;34;1;3;15;16;1;;;;2;1;24;1;4;;;;1;;1;2;1;;2;1;9;;2;1;2;1;1;3;;3;;3;3;;;1;2;5;3;1;;;;;1;3;1;;6;1;1;;;;2;4;;2;;;1;1;12;;;;2;1;;;;;;2;;;4;2;1;;3;;;1;1;1;;;;1;2;2;;1;1;;3;1;;2;;1;1;6;3;1;2;1;1;1;;;2;;;;1;;;4;;;;;;;;;;;;1;;1;1;1;;1;1;;;;3;;1;;;;1;1;1;;
13190-5468;;4;;;7;4;24;2;6;32;27;1;1;1;2;2;;29;;5;;;;;;;;;;;;1;;;;1;;1;4;1;;;2;2;;;1;;4;1;;;;;;1;2;1;;5;;;;1;2;3;5;1;1;;;;;13;3;1;2;;1;1;;5;;1;4;3;;1;;2;2;9;;1;4;3;2;1;;;4;6;4;;;2;2;9;2;1;4;1;;2;10;;1;1;1;1;1;1;;5;2;1;1;;;;6;2;1;;;;;;1;1;1;1;;;1;;1;2;4;1;;;;6;1;3;2;;;;2;;;
18399-6388;;13;;2;7;3;11;1;3;19;16;;;;;1;;16;;4;;;;4;2;;4;2;;2;;4;1;;1;1;2;2;1;3;1;1;;;1;;1;;;;;;;;;;2;1;;2;;;;1;;;2;;1;;;;;5;;;;1;;;1;3;;2;1;1;6;1;;2;2;8;1;1;6;5;5;3;2;2;1;1;;;;2;1;1;1;1;2;2;2;;10;;1;5;4;4;3;2;2;;;;;;;;4;2;;;;;;;;;;;1;;;2;;2;3;2;1;;;3;1;;;1;;;2;1;;
22440-4604;;3;;;5;2;27;1;2;25;23;;1;;;3;;9;;1;1;;;;;;1;1;;1;;;;;;;;;1;1;2;;1;;;;;2;17;8;3;1;;;;1;1;;1;13;8;3;2;;1;;5;3;;;;;;2;;;;1;1;;;1;;1;2;;;4;1;1;1;7;3;;2;;;;;;;10;5;2;;2;;4;2;;;;1;1;11;1;;3;1;;;;;2;4;3;;2;2;;;;;;;;;;;;;;;;1;;2;;1;;;;1;4;1;1;;;;;;;;
15396-5469;;1;;;;;10;;;2;1;;2;1;5;7;;7;;2;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;1;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;1;1;;;;;;;1;1;3;2;1;1;1;;;;1;1;1;;1;;1;;;;1;;;;;;;;;;;
21340-6398;;22;;2;31;4;41;2;12;50;40;;;;;2;;17;1;3;;;;6;3;1;8;4;3;;;8;1;3;;1;;1;3;18;3;1;2;;8;4;3;3;12;9;4;4;3;3;;;;;;15;2;1;;;4;2;8;;1;;;;;6;1;1;;1;2;;1;7;3;1;9;4;4;10;1;3;3;20;3;;12;10;7;5;3;2;2;5;3;2;1;1;1;6;2;1;2;;;;23;3;3;15;11;8;6;5;3;2;4;2;2;2;;1;5;1;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;;;;;;;1;;;
15432-5469;2;16;;;;;55;1;6;32;35;4;2;2;3;6;;36;3;7;3;1;;;;3;2;2;1;2;1;4;;;;;;1;2;;;;;;5;1;;4;11;5;1;;;;2;3;6;4;1;15;1;;;1;;2;12;1;5;;1;3;;17;2;1;4;2;;1;1;3;1;;3;1;2;6;3;3;2;7;;2;3;1;;;;;;4;1;;2;2;2;4;1;;4;2;;1;11;1;1;6;3;;;;;1;4;2;2;4;1;;7;;1;1;2;1;1;;;;1;;1;;;1;3;;4;2;1;1;;6;;4;2;2;1;3;;;;
17813-4130;2;25;1;;7;5;76;3;23;64;57;2;2;2;8;7;;34;3;10;1;;1;4;1;4;8;2;1;3;2;10;2;3;1;2;2;3;5;;3;;;;6;2;1;;27;8;;;;;;3;3;1;;27;9;1;;1;1;2;11;4;2;;1;1;;13;3;3;;5;2;2;1;9;2;3;17;7;3;6;1;6;3;12;2;2;5;;;;;;2;14;4;3;1;4;1;3;;;2;;1;3;17;2;3;5;2;;;;;2;6;1;1;2;2;2;3;;1;1;2;1;1;1;2;;;;3;1;1;1;1;;8;5;;;1;9;2;7;1;1;;3;;;;
17083-4604;5;30;3;;3;5;67;3;3;27;35;2;3;3;19;17;1;50;5;4;1;3;3;4;2;4;7;5;4;2;3;15;1;2;;4;2;1;7;;1;;2;2;5;1;1;;8;3;2;1;1;1;1;1;10;3;;6;1;;;;1;;11;2;3;2;4;5;4;25;1;;2;1;2;;2;2;1;;1;;1;6;3;2;2;10;2;;7;5;4;3;2;2;1;4;2;1;;2;2;5;3;;2;;1;2;15;;2;9;6;5;3;3;2;;3;1;1;1;1;;6;1;;3;8;4;4;4;1;2;2;;;1;7;3;1;1;4;1;;;2;9;1;3;3;1;3;;;1;;
