aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>31>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 41>;2 30>;2 31>;2 41>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>31>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>38>;30>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 41>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>31>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41 48>;46>2>;48>14>;48>30>;48>48>;49>49>;
21367-6398;1;11;;;;;52;;16;52;40;;3;1;17;19;;19;6;2;;1;1;;;1;3;1;;1;;5;;2;;1;;1;1;;;;;;3;;;2;22;7;2;;;;1;5;3;1;;29;11;3;;;5;1;8;1;;1;4;4;1;5;1;1;;;;;;6;1;1;8;5;3;3;1;8;1;9;2;2;;;;;;;;13;3;;2;2;;6;1;;2;;1;;10;1;4;2;;;;;;1;1;;;1;1;2;4;1;1;1;4;;;;2;3;;1;3;2;5;2;1;1;5;2;1;;1;2;;1;;;;;1;;;
14034-6398;1;3;;1;4;1;14;1;;;5;;;;;2;;13;1;;1;1;1;;;;1;;;;;;;;;;;;;;3;;;;;;1;1;;;;;;;;1;2;1;;;;;;;;;3;;1;;;;;6;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;1;2;3;;;;;;;2;;;;;1;;;;;
18267-4130;1;21;;;4;2;64;2;12;46;57;3;3;3;9;8;;35;1;8;;1;1;2;;2;9;2;;4;;9;;7;;1;;4;3;;1;;1;;4;;1;1;23;12;4;3;1;1;1;2;6;;;18;5;4;;2;1;;10;3;1;1;2;2;;10;1;1;1;2;2;1;1;6;5;;6;3;1;10;3;7;4;12;4;2;6;2;2;;;;4;10;7;2;2;3;3;9;4;1;1;1;2;1;20;3;4;8;5;2;1;;;1;8;;;2;;3;8;;1;3;2;1;1;1;2;;;1;;2;1;2;;;5;3;2;1;1;6;;2;;2;1;1;3;1;;
21788-5469;;6;2;1;5;2;24;1;11;39;27;;1;;2;10;;19;;2;;;;;;;3;1;;;;2;;2;;;;;;3;;1;;;1;;;;13;7;3;;;;;;;;;15;9;4;2;;;;;;;;1;4;2;4;1;1;;1;;;1;7;;2;10;6;;;;1;1;14;;;4;3;3;3;1;1;;9;4;2;1;2;1;1;;1;2;;;;11;;1;5;;;;;;;;;;1;;;4;1;;;;;;;;1;;;2;;4;1;;1;2;1;;;1;1;;;;;;;1;;;
22212-4604;;1;;;;;16;1;4;17;25;;1;1;13;5;;20;;3;3;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;5;1;;;;;1;;;;1;5;1;;;;2;1;6;;3;1;3;3;1;7;2;;;;1;;1;4;;2;4;4;1;;;1;1;5;;1;2;;;;;;;2;;;;;;6;;3;3;;;;3;;;1;;;;;;1;3;1;;1;;;9;;;;;;;;;2;4;;2;1;1;;;;3;1;;;;;;;;;;;;1;1;
13342-5468;;8;8;2;4;3;41;1;6;22;23;1;3;2;14;9;1;13;;8;9;;;;;3;1;;;;;4;;1;;1;;;1;;1;1;1;;2;;1;3;14;8;;;;;;3;2;1;6;5;3;2;;;;;2;;1;;;2;1;7;3;2;;2;1;;1;2;;;4;2;;7;;1;;3;1;;;;;;;;;4;2;;;;1;4;2;;;;;4;12;5;1;;;;;;;2;1;1;;;;;1;;2;2;6;4;3;2;1;;;3;;1;3;;1;;3;2;;;;1;;;;;;1;;;5;
21598-4604;1;11;;;10;2;28;2;7;33;29;;2;;;2;;15;3;;;1;1;;;;2;1;;;1;4;;1;;1;1;2;2;3;3;;1;;;;;;12;5;2;;;;;;1;;;14;8;3;2;;2;1;4;;2;1;;;;5;1;1;1;;1;1;1;2;;;5;1;2;1;;2;2;8;;1;5;5;3;2;2;1;;10;5;3;;;;4;;1;1;;;;11;1;1;6;3;3;1;1;1;;2;1;1;;;;4;1;;;;;;;;;;;;;1;;;1;1;1;;;1;2;;;;;1;;;;;
22418-4130;1;37;1;12;2;14;104;2;12;112;99;;;1;1;10;1;55;2;16;5;;;7;3;2;11;3;3;2;;10;;4;2;;7;5;5;;2;8;;;3;;4;3;44;23;10;8;6;5;2;2;3;;1;42;17;6;1;;5;3;14;4;2;;;2;;23;6;3;;4;;1;;4;2;;8;4;5;9;5;3;1;34;6;2;21;13;9;6;5;5;2;22;9;4;2;3;3;12;2;2;5;2;2;1;44;1;;22;16;9;5;3;2;2;7;5;3;4;;2;10;3;;1;;;;;;;;2;;;;3;4;3;13;5;4;4;1;5;2;1;;1;;1;1;2;3;
21393-4605;1;14;;;;;44;;10;36;27;;3;2;12;18;;40;3;7;;1;1;;;1;4;2;;1;;6;;2;3;2;4;3;4;;;;;;1;;;1;10;2;;;;;1;2;8;4;;12;1;;;1;2;2;4;;2;2;2;6;1;13;2;;3;1;;;;4;1;2;9;4;3;4;2;1;;7;2;;3;1;;;;;;1;;;1;2;3;4;;1;5;1;;;5;1;;1;;;;;;;3;2;1;2;1;4;5;;;2;2;;;;;1;5;3;4;;6;3;1;;5;1;;;5;7;1;4;1;1;1;;3;;;
15494-5714;1;23;3;;5;8;68;2;3;42;41;1;4;3;3;12;;64;1;5;1;;1;5;3;1;12;7;2;6;;8;;1;;2;;2;5;;2;;1;3;5;2;4;;7;5;2;2;1;;;3;12;2;;12;4;2;1;3;;2;8;;3;;;6;2;33;3;2;3;3;;1;1;1;;1;1;;3;1;;2;1;14;;;6;4;1;;;;;6;3;1;;4;;2;1;;2;;1;;18;1;1;8;4;2;;;;1;;;;7;4;;7;;;2;1;1;;;1;;;;1;;2;7;1;;6;4;3;3;3;11;1;4;1;3;;;;;;
