aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>2>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
30966-5388;2;23;14;5;;9;;55;1;2;;18;18;2;2;1;12;9;1;42;1;2;3;1;1;1;1;;;6;;3;10;1;3;1;1;;1;1;;1;1;7;5;5;;5;5;;10;2;5;1;;9;6;7;3;3;1;7;1;6;3;3;1;1;5;21;;1;4;;3;1;1;2;2;;5;1;1;1;9;2;8;7;5;2;3;6;5;2;;;3;15;1;8;7;6;4;4;4;1;;;;;;2;2;1;1;5;2;1;1;;1;4;2;2;1;;;1;1;2;10;;;1;1;;1;;1;;;;;2;3;2;
36153-5469;1;4;1;;3;1;;23;1;;;5;8;1;;;;1;;11;1;;;;1;1;1;1;1;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;;2;;;;;;;1;4;;;1;;;1;1;;;;;;;;;;;;;;;1;;2;;;;4;;;;;;;;2;;;;1;;1;1;;;;;;;;;;;;;;1;;;;4;;;;;;;;1;;;;;;;;
36150-7098;;2;1;;;;;3;;;;1;1;;;;;1;;2;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22522-4604;1;12;2;;;3;;33;2;4;;21;19;1;;;;1;1;15;1;2;;;1;;1;1;;;;1;3;1;1;;;;;;;;;2;;;;;;;8;;1;;;1;1;2;;;8;12;;12;;;;;;11;1;;1;;;2;2;4;3;;11;3;1;1;1;;;;;;;8;3;;;;3;18;7;1;;;;7;3;;;;;;2;1;1;;;;;;;;;1;;;;1;1;;;;3;;;;;;;;;2;;;;;;;
28022-4605;2;16;;1;7;3;1;52;1;2;2;23;20;1;1;1;6;10;;15;4;9;1;2;1;1;1;1;1;5;;;2;;;1;1;;;1;;1;1;;;1;2;1;1;2;10;3;1;1;;;;2;;;1;10;2;7;1;;;;8;3;;;2;1;1;1;1;1;;1;1;;;;5;1;2;1;1;1;;2;;1;2;;2;12;;1;;;;2;;;1;;;;1;;;;1;1;1;1;1;1;;;1;1;;;;;;;6;;;2;;;2;2;1;3;1;1;1;1;1;1;
31617-4130;;5;11;2;12;2;1;24;1;;;7;11;11;3;2;3;4;5;10;;1;1;;;;;;;;;2;1;;;;;;;;;;;4;9;2;4;1;1;1;;;;;;11;4;1;1;1;2;;;;;;10;7;;5;;;2;1;1;1;1;;;1;2;;;;;;;;;;;4;4;;;;3;7;2;;;;;4;4;;;;;;;8;5;;2;3;3;3;3;2;;1;3;1;;;;;;;3;;;2;;;;;;;;;;1;1;1;
110-7098;;9;1;;2;4;;13;1;4;1;14;14;;1;1;2;3;;3;;5;;;;;;;;2;1;1;;;;4;2;;;1;;;;;;;;;;1;4;1;;1;;;;1;;;;4;;1;1;1;;;2;1;1;;;;;1;;4;;3;;;2;2;5;;4;3;1;1;;2;1;;1;3;;7;;3;2;2;1;;;;;;;1;1;;;;1;2;1;1;;;;1;1;;;1;;;;;;;;;;;;;;;1;2;1;;;;
35030-4605;;17;;6;;8;1;24;;;8;3;11;;;;;4;;26;;11;1;;;;;;;4;;;3;;1;3;;;;4;;;;;;1;;6;1;;5;2;;2;1;;;2;1;1;3;5;1;1;;;;;2;5;2;;1;;1;;;;;;1;;;;1;1;1;;;;;;;1;2;2;1;2;;1;1;;;;;;2;1;1;;3;;;;;;;;;;;;;;2;4;;1;;;6;1;;1;;;;;;1;8;;;1;1;1;
36399-5468;1;11;1;;1;2;;50;2;;;7;8;1;4;4;12;11;1;27;1;1;;1;;;;;;2;;;4;;1;;;;;;;1;1;;1;;;;;;8;1;3;;;1;;1;;;5;3;1;;;;1;1;6;13;1;;;;;2;1;;;;2;1;;;2;;;;;;;;;;;;2;4;2;;;;;;;;;;;;1;1;1;2;2;1;;;;;1;4;4;5;;1;2;1;1;;1;;;;;;1;1;;;;1;;;;;
36520-5388;1;2;;;;;;4;;;;;;;;;;;;;1;;;;1;1;1;1;1;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
31797-4130;;4;;;1;6;;18;1;;;7;10;;1;;1;1;;14;;3;;;;;;;;1;1;;;;;2;2;;;1;1;;;;;;;;;;1;1;;;;;;5;;;;;;;;;;;1;4;;;;;;1;1;;;;1;;;;1;;1;;;;;;;;1;1;1;6;1;;;;;;;;1;;;;;;;;;1;;;;;;;1;;;;;1;1;;1;;;;;;;;;;;;;;;;
28126-4605;1;8;;;;;;18;;;;1;4;;1;1;2;5;;7;1;1;;1;;;;;;1;;;3;1;2;;;;;;;;;;;;;;;;4;1;;;;;;;;;;3;1;1;1;1;;;;5;;;2;;;;;;;;1;;;;1;1;1;;;;;;;;;1;1;1;;1;1;;;;;;;;;;1;;;;;1;1;;;;1;2;1;;;;;;;;2;;;;;;1;1;;;;;1;;;;
31887-4604;2;20;22;4;22;8;3;83;5;7;1;43;43;9;1;1;3;10;;46;2;9;6;;2;2;2;2;2;4;;;5;;1;1;1;1;;3;1;;;4;4;2;2;3;2;1;5;1;1;1;1;11;3;;;;5;11;1;7;2;1;4;2;;12;1;;3;2;1;5;5;7;;1;8;;;;20;;9;2;1;;2;3;1;1;2;;4;27;1;13;6;1;1;1;1;;1;3;1;3;1;7;4;;1;2;1;1;1;1;1;3;1;2;;2;3;2;;1;12;;;5;2;1;;;2;;1;3;;1;1;;
36309-7274;;1;;;;1;;7;1;;;3;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;3;1;2;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;1;;1;;;2;3;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;;;;;;;;;;;
