aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;3>2>;3>2>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31>48>30>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>49>;
37448-5469;1;3;;1;4;2;;5;;;1;4;3;;4;;1;5;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;1;1;;;;;;;;;;;;2;;2;1;1;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
31698-5714;2;11;;;;;;12;1;;;4;8;;7;;2;1;;4;2;1;;;;;;2;1;;1;;;;;;;;;;;;;6;2;;;;1;;;;;;;3;;1;;;;;1;;;;1;;;1;;;1;1;;;;2;1;1;;;;1;1;1;1;;;;;;;;1;;;;3;;1;1;1;;;;;1;;;2;;;;;;;1;;;1;;2;;1;;;;;;;;;;;
31543-6398;;3;;;;1;;8;1;1;;13;10;;5;;;1;;;;;;;;;;1;;;2;;;;;;;;;;;;1;1;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;1;;1;;1;;;;;;;3;;2;1;;;;;;;1;;;;;7;;2;1;1;;;;1;;2;1;1;1;;;;;;;;;1;1;1;;;1;;;;;;;;;;
31753-5714;;6;;;;1;;13;;1;;7;11;;15;;;1;;1;;;;1;;;;3;;;1;1;;;;;;;;;;;1;3;1;;1;;1;;;1;;;1;5;;2;;1;;;1;;;;2;;;1;;;;;1;;1;;;;;;;1;;;;;;;;;;1;;1;;;3;;1;;;;;;;;;;3;1;1;;;;;1;;;1;1;5;1;;2;1;;;;1;;;;;
24794-4130;1;5;;1;5;3;;11;1;;;5;7;;5;;1;;1;;;;;3;1;;;;;;;;;;;1;;;1;1;1;;1;4;;3;;;;;;2;1;1;;3;2;1;;;;;;;;;4;;;;;1;1;1;;;;2;1;1;;;;;;;;;;;2;1;;;;;3;1;5;2;;;;;2;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;1;
22611-4130;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31964-4605;;;;;;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;
15073-5714;1;4;1;;;;;12;;1;;4;6;;2;;1;;;;;;1;3;1;1;;;;;;;;;1;;;;;;;;;4;;3;;;;;;;;;;6;2;2;;;;;;;;;2;;;2;;;;;1;1;;3;1;2;;;;;;;;;;;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;;;;;
35642-5469;1;6;;;;1;;15;2;4;;12;14;1;9;;1;2;;1;;;;;;;;3;2;;1;;;;;;;;;;;;1;1;;;1;1;;;;;;;1;5;;1;;;;;;;;;2;;1;1;;;2;;4;;1;2;;1;;2;2;3;;1;;;;;1;1;;;1;;;;8;2;2;;;;;;;1;2;2;4;1;1;;;;;1;1;;2;1;3;;;;;;;;2;;;;;
19683-4605;;6;1;1;;2;;21;;1;;3;3;;1;;;2;1;3;1;1;;;;;;1;1;;;;1;1;;1;;;;;;;;3;1;;;;;1;1;1;;;4;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;1;;1;;;;;;;;;1;;;;2;;1;1;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;1;;1;1;1;
36453-5468;;10;6;4;;4;4;12;;;4;4;5;4;2;;;15;;3;;;;;;;;;;;;;6;2;;1;;;4;1;;;;1;;;;;;4;3;1;;;4;;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;3;;2;;;;1;1;1;;;;;;;4;;3;2;;;;;;;4;3;;;;4;1;1;3;1;;;;;;;;;;;10;4;;7;;;;
31543-5468;;1;1;;;1;;6;;3;;6;6;;11;;;1;;;;;;;;;;1;1;1;1;1;;;;;;;;;;;;1;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;3;;;;;;;;;4;;1;;;;1;2;1;;;1;;1;;2;;1;1;;;;;;;;;1;;;;;;;;1;;3;;2;;1;;;;;;1;;;;;
32853-5468;;3;4;;;1;;16;1;;;3;3;2;3;;;2;;;;;;;;;;;;;1;;;;1;;;;;;;;;2;;;;;1;3;;1;;;1;2;;;;;;;;1;1;;2;1;;;;;1;;;;;1;1;;;;;2;;1;;;;;;;;;;;1;;1;1;;;;;;;;;;;;1;1;2;1;;;2;;;;;;;;;;;;;2;;;;;
28350-6398;;3;;;;;;11;;;;1;3;;8;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;6;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;2;;;1;1;4;1;1;1;1;1;;;;;;;;
19904-4605;1;5;;;;1;;11;1;2;;15;7;;14;;1;1;;2;;;;2;1;1;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;2;;1;;;;;1;;;;1;;;;;;1;1;2;;;;;;;;;6;;;;;;;1;1;;;1;;;;3;;1;;;;1;1;;1;1;;4;;;;;;;1;;;1;;2;;;2;1;;;;;1;;;;
32853-6398;;1;1;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29887-6398;;1;;1;;1;;13;1;;;4;9;;11;;;;;1;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;1;1;1;;3;;;;;;;1;;;;1;;1;;;;1;1;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;4;;;;;;;;;;3;;3;;2;2;2;1;;;;;;;;
28039-4605;;1;;;;1;;5;;;;1;4;;6;;;1;1;;;;;1;;;1;;;;;;;;;;;;;;;1;;1;;1;;;;;;1;;;;2;1;;;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;3;;;;;;1;;;;1;1;1;
34559-6398;;1;1;;5;2;1;11;1;;;3;6;1;5;;;1;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;1;2;;1;;;;;;1;1;;1;;;;;;1;;;;;1;;;;;;;;;;;;;2;1;;;;;;;3;1;;;;;2;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;
24676-6388;1;9;;;;1;;18;1;5;;9;15;1;12;;1;2;;2;;;;2;;1;;1;1;;3;2;;;;;;;;;;;1;3;1;1;1;1;;;;1;;;1;7;1;4;;;;;1;;;;3;1;1;1;1;;1;1;4;1;;3;;;;2;2;3;1;2;1;1;1;;4;2;;2;2;;2;;8;1;1;1;1;1;4;2;1;2;2;1;4;;;;;;;2;;1;4;2;5;1;;3;1;1;1;;1;;;;;
31347-4605;1;12;;;7;3;1;28;1;;;8;10;;10;;1;4;3;1;;;;5;3;;1;;;;;;;;;;1;;;;2;;;6;;3;;;;;;2;;;;6;1;3;1;;;;;;;;6;1;;2;;;1;1;;;;4;;1;;;;1;;1;1;;;;;;;1;;;1;;8;4;1;1;1;;;;1;;1;1;;;;;;;;1;;;1;1;2;;;;;;;;;1;2;1;;
36141-5469;;4;2;;;;;6;;;;;1;;3;;;;1;1;;;1;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;
35030-5468;;5;;;;;;6;;;;1;1;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;1;;;;;
31321-4605;;7;;;27;4;;16;1;1;;8;17;3;11;;;1;;3;;;;;;;;3;;;;;;;;;9;4;;;1;;;3;1;;1;;;;;1;;;;7;;4;;;;;;;;;1;;;1;;;1;;1;;;;;;;;;1;;1;;;;;;;1;;;1;;;7;;1;1;;;;;;;3;1;1;1;;2;;;2;1;;;;;2;;;;;;;;;;;;;
35904-5714;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18081-5468;;2;1;;;;;11;1;1;;8;8;;3;;;;;1;1;1;1;;;;;2;2;1;1;;1;;;;;;;;;;;2;1;;;;1;;;;;;;5;;4;;1;;;;;;;1;;;;;;1;1;1;;1;;;;;;;2;;;;;;;;;;1;;;;;7;;2;;;;;;1;;;;;;;;;;;1;;;;;1;;;1;1;1;;;;;;;;
27916-5714;;5;3;;;;;5;;;;1;2;1;4;;;;;;;;;2;;;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;4;2;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;1;;;2;;;;;;;;;;;;;;;;;;
36520-5714;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31535-4605;1;10;;;5;3;;31;1;;;8;10;1;17;;1;;;;;;;2;;;1;;;;;;;;;;1;;;;2;1;;5;;1;;;;;;2;;;1;6;3;3;1;;;;;;;;7;;1;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;4;1;5;1;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;
30907-4604;;4;;1;;2;;17;1;;;4;12;2;9;;;;;1;;;;;;;;;;;1;1;;;;1;;;1;1;;;;;;;;;;;;1;1;1;;1;;1;;1;;;;;;;2;;;;;;1;;;;;;;;;;;3;;2;1;1;1;1;1;;;;;;1;;4;;3;2;1;1;;;;;1;;1;;;2;2;2;;1;;;1;;4;;1;1;1;;;;;;;;;
32011-5468;1;7;6;1;;1;1;18;1;;;5;8;7;6;2;1;;;;;;1;3;;;;;;;;;6;;;1;;;1;1;;;;;;;;;;5;5;;;;2;;;;;;;;;7;5;3;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;2;;5;1;;;;;;;;;;;;;;5;3;;;;;;1;1;2;;1;2;1;1;;;;;;;;
23038-6398;2;9;;;;1;;19;1;;;4;6;;8;;2;1;1;1;;;;3;1;1;;;;;2;;;;;;;;;;;;;4;1;1;;;;;;;;;;3;;1;;1;;;;;;;3;;;;;;1;1;;;1;1;;;;;;2;;1;1;1;1;;;;;;;1;;;3;1;1;;;;;;;;1;;1;1;;;;;;1;;;;;;;;;;;;;1;1;;1;1;
36483-5468;1;10;;;;;;37;1;8;;24;23;;6;;4;3;2;2;1;1;;1;;;;6;6;6;;;;;;;;;;;;;;7;1;;4;4;;;;;;;8;13;;9;;8;3;;;;;;4;;;3;1;1;1;;5;4;;13;2;1;1;4;4;16;6;8;1;;;;;;;;;2;;;17;;15;7;;;;;;;;;1;;;;;;;1;;;1;;5;1;1;3;2;1;;;1;1;1;1;1;
33590-4604;;;;;;1;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18571-4604;;;;;;;;1;;;;;1;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
32022-5468;;4;;;;1;;14;;6;;22;15;;4;;;2;1;3;2;1;;;;;;3;2;;;;;;;;;;;;;;1;3;2;;1;1;;;;1;;;;8;;5;1;1;1;1;1;;;;1;;;;;1;;;6;;;1;;1;;;;5;;2;1;1;1;1;4;4;;;;;;;13;1;3;1;1;1;;;;;1;1;1;;;;;;;;;;1;1;1;;1;1;1;;;;;;1;1;;
29800-4130;;3;;;3;1;;7;1;;;4;5;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;3;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;;;;;1;;3;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
13342-4130;1;10;2;;;1;;11;1;1;;2;4;;5;;1;;;;;;1;2;;;;1;;;;;2;;;;;;;;;;;3;;1;;;;;;1;;;;;;;;;;;;;;;3;;;1;1;;1;1;1;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;
31300-4130;1;6;;;3;4;;13;1;;;8;10;;9;;1;;;1;1;;;1;;1;1;1;1;1;2;;;;;;;;;;;;2;2;;;;;1;;;1;;;;2;;2;;;;;;;;;2;1;;1;;;1;;;;2;;;;;;;3;;2;1;;;;;;;2;;1;1;;7;;2;1;1;;;;2;;;;;;;;;;;3;1;;1;1;3;1;1;1;1;1;;;;;;;;
23725-4605;;9;;2;2;4;;22;1;;1;7;11;;16;;;4;2;;;;;;;;;;;;1;1;;;;1;;;2;1;;1;;3;;;;;;;;3;1;;;7;;5;;3;2;;1;;;;6;2;;3;2;2;1;;;;1;;;;;;;3;;2;;;;;1;;;1;1;;1;;7;;3;2;;;1;;;;;;1;1;;;;;;5;;2;;;6;2;;4;2;2;;1;1;;1;2;1;
22614-4604;1;10;1;;;4;1;29;1;3;;5;7;2;21;;1;3;1;;;;1;4;;1;1;1;;;;;1;;;;;;;;;2;;6;;2;1;;;;;2;;;2;3;;1;;;;;;;;;13;;1;5;1;;1;1;3;1;;2;;1;;1;1;3;;;;;;;;;1;;1;1;;;3;1;1;;;;;;;;;;;1;;1;1;1;;;;;1;;5;;;1;;;;;;;;;;
31218-4604;;8;1;;2;3;1;22;1;;3;8;9;1;20;2;;15;1;2;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;1;;;;;1;1;;;;;;;;;;;5;1;;3;;;1;;;;;;;;;;;4;;1;1;;;;1;;;;1;;;;3;;1;;;;;;;;;;;5;2;1;;;;1;;1;;;6;;;1;;;2;3;2;6;1;;;
18297-6388;;2;;;;;;6;;1;;2;4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;
35892-5469;;5;1;2;;3;;22;1;;1;8;11;3;15;;;8;;;;;;3;;1;1;;;;;;1;;;2;;;2;2;;;;1;;1;;;;;;2;1;1;;4;1;2;;2;2;1;;2;2;2;3;;;;;;1;;;;;2;;1;1;;;4;1;3;2;2;1;;;;;;1;;1;;5;1;3;3;2;2;;;;;1;;;1;;3;2;;1;;;;1;;4;;1;;;;1;;1;3;;;;
23953-5468;1;7;8;;3;2;;28;1;1;;11;11;5;11;;1;2;2;1;;;;1;;;;1;;;1;;5;1;;;1;;;;1;;;1;;;;;;6;3;;;;3;1;;;;;;;;3;3;;1;;;;;2;1;1;1;;;1;;;;;;4;;3;2;;;;1;;1;;;;2;;4;;2;2;2;;;;;;1;1;;1;1;4;1;1;1;;;;;;3;;;2;;;;;1;;1;2;;
27383-5468;;1;;;;;;2;1;;;2;3;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
31850-4605;;4;2;;;;;4;;;;2;4;;4;;;;;1;;;;;;;;1;1;;1;;2;1;;;;;;;;;;;;;;;;2;2;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;1;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;
30811-4605;;9;;;;3;;13;1;;;7;6;;12;;;;;2;;;;;;;;1;1;;2;1;;;;;;;;;;;;2;;;;;1;;;2;;;2;1;;1;;;;;;;;;3;;;1;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;3;;;;;;;;;;;;2;;;;;;;;;;;;6;;;3;;;;;;;;;;
35030-6388;;2;;;;;;4;1;;;5;5;;1;;;3;;2;1;1;;1;;1;;2;2;1;;;;;;;;;;;;;;2;2;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;;;;;;;1;3;1;;;3;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;
36051-5469;1;11;;3;2;4;1;31;1;;;4;10;;17;;1;3;;1;1;;;1;;;;1;;;2;1;;;;2;2;1;3;2;1;;;7;;1;;;2;;;;;;;5;;1;;1;;;2;;;;9;1;1;1;;;1;;;;;2;;;2;;;2;1;1;1;1;1;;;;;1;;;;;3;;2;1;1;1;;;1;;;;2;1;;;;;;3;;;2;1;2;2;;;;;;;;1;;;;
3345-4130;;5;;;;1;;11;;1;;6;7;;7;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;1;2;1;1;;;;;;1;;;;4;1;3;;;;;;;;;1;;;;;;;;1;;;1;;;;1;1;1;1;1;;;;1;2;2;;;;;1;;6;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22522-6398;;2;1;;;2;;4;1;;;3;4;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;2;1;2;;1;;;;;;2;;;;3;1;2;1;1;;;;;;;;;;;;;;;;;;2;1;;;;;2;1;;;;;;;;;;;;1;;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28212-4605;;5;;;;4;;14;1;;;10;10;;13;;;;;3;;;;3;1;2;1;;;;;;;;;;;;;;;1;3;2;2;;;;;;;1;;;1;6;;2;;;;;2;;;;6;1;2;3;2;;1;;;;;;;;;;;6;;4;2;1;1;;;;;;;;1;;4;;2;1;;;;;;;2;1;2;;;;;;;2;1;1;2;;6;;;4;2;1;;;;;;;;
36382-5469;;1;;;;;;3;;;;1;1;;6;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;1;;;1;;1;;;;;;;;1;;;;;
31870-4604;1;26;14;2;14;5;3;51;2;1;;25;26;17;14;2;1;8;13;5;1;1;2;1;1;;;1;1;;4;;10;1;;1;7;4;1;;1;;;8;3;;;;1;6;4;3;;;1;3;;1;;1;1;;1;10;6;4;2;1;;;;4;2;2;1;;1;2;;;;;;5;;3;;;;;2;2;;;;1;;;14;1;4;3;;;2;2;;;2;1;1;;;11;5;2;2;2;;;1;;;;;;;;;;;1;5;1;1;
32081-4605;1;11;;;;;;21;;1;;13;17;;6;;1;2;;6;3;1;;3;2;;;4;2;1;2;2;;;;;;;;;;;;9;5;;1;1;;;;;;;3;11;;7;2;4;2;2;1;;;;1;;1;;;;;;1;1;;4;1;1;;;;9;1;5;5;2;2;1;2;1;;;1;2;2;;11;2;7;4;4;2;;;;;2;1;2;;;;;;;;;1;2;;5;;1;3;1;;1;;;;;;;
31299-4605;;10;1;3;;4;;18;1;1;;12;9;1;8;;;1;;1;;;;;;;;;;;1;;;;;3;;;3;3;;;;;;;;;;1;;2;2;2;;;;;;;;;;;;;;;;;;;1;1;1;;1;1;;;;;;2;;;;;;;;;;;;;;;6;1;1;;;;;;;;;;1;;;;;;;2;;;1;;1;;1;;;;;;1;;;;;
18700-5469;;8;;;;;;16;1;;;3;8;;1;;;;;1;;;;;;;;3;2;;;;;;;;;;;;;;;3;;;2;1;;;;;;;;3;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;3;1;;3;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37575-5388;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31545-5388;;10;1;;11;3;;18;1;2;;10;16;;14;;;;;2;1;;1;2;;1;1;3;1;;2;1;1;1;;;5;2;;;2;;1;5;;1;2;1;;;;1;;;;5;;3;1;2;1;1;;;;;4;1;;1;1;;1;1;2;;;3;;1;1;;;4;1;3;3;1;1;;2;1;;;;2;1;;9;2;4;3;3;1;;;;;;;1;;;;;;;3;1;;1;;4;2;;2;1;;;;;;;;;
36217-5468;;3;;;;2;;12;;;;5;6;;1;;;1;1;;;;;2;1;1;;;;;;;;;;;;;;;;2;;3;;2;;;;;;2;;;1;3;2;2;1;;;;;;;;1;;;1;;1;;;;;;2;1;;;;;1;1;1;;;;;2;;;;;;2;;3;1;;;;;1;;;;;;;;;;;;;;;;1;1;1;;1;;;;;;;;1;;;
29128-6389;;;;;;1;;6;1;;;1;5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;4;2;1;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
18201-4605;;6;10;1;2;6;6;23;1;;;9;13;11;1;2;1;4;1;;;;2;3;1;;;;;;;;3;;6;1;;;1;1;2;1;;3;;2;;;;7;1;;;;3;1;1;;;;;;;6;6;2;;;;;;1;;;;;;1;;;;;;4;;1;1;1;1;;;;2;;3;;5;;8;1;3;1;1;1;;;;2;;;;1;1;8;5;1;;;;;;;;;;;;;1;;1;;;1;1;
13564-6388;;2;;3;;3;;30;;3;1;5;13;;19;;;8;5;1;;;;;;;;;;;1;1;;;;1;;;3;1;;;;1;1;;;;;;;1;1;;3;4;;;;;;;;;;;7;;;2;;;;;;;;3;;;;;;3;1;;;;;;;;;;;;2;1;2;;2;;;;;;;;2;;;;;;;;;;;;;;6;;;1;;;;1;;1;;;;
28170-5468;;9;;;;2;;13;;2;;10;8;;8;;;2;;1;1;1;;;;;;3;2;1;1;;;;;;;;;;;;1;4;1;;1;1;;;;1;;;;2;;1;;;;;;;;;3;1;1;1;;;;;2;;1;3;1;;1;1;1;6;2;4;2;1;;;;;;;1;1;;;6;1;4;3;2;1;;;;;;;1;;;;;;;2;;;1;1;2;;;;;;1;;;;;;;
31419-4605;;2;;;1;2;;7;;;1;1;2;;3;;;2;1;;;;;1;;;1;;;;;;;;;;;;;;1;;;1;;;;;;;;1;;;1;1;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;1;;;;;;;1;;1;1;1;;
27794-4604;;4;3;2;;2;;6;;;1;4;5;;8;;;4;;1;1;1;;1;;;;1;1;1;;;1;;1;1;;;2;1;;;;;;;;;;2;1;;;;1;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;4;;2;;;;;1;1;;;2;;;;4;;4;2;;;1;1;;;;;;;;;;;;;1;;;;2;;;1;1;;;1;1;3;;;;
30749-4130;;7;4;1;;2;;19;2;1;;14;19;1;23;;;5;2;2;;;1;;;;;;;;;;1;1;;1;;;1;1;;;;3;;;;;;2;;1;;;;5;;3;;2;;;1;1;;;4;;2;1;;;2;;1;;;;;;;;;10;;4;4;2;;3;3;1;;4;1;;2;;11;;8;4;4;2;1;;2;;1;;2;1;;;;;;1;;;2;2;7;;;4;3;2;1;;;;2;2;;
36309-5469;;3;;;1;2;;11;1;1;;3;8;;8;;;;;1;1;1;;1;;;1;1;1;;;;;;;;;;;;;;;3;1;1;;;;;;2;;;1;3;;1;;;;;2;;;;3;;2;1;;;1;;1;;;;;;;1;1;;;;;;;;1;1;;1;;;2;;2;;;;;;1;1;1;;;;2;;;;;;;;;;2;;1;;;;;;;;;;;;;
17356-5388;1;9;2;;;1;;19;;4;;13;9;;5;;1;;;2;;;1;;;;;1;1;;1;;1;;1;;;;;;;1;;4;2;;;;1;;;1;;;1;6;;5;1;;;;;;;;2;1;;1;;;;;4;2;;4;2;;;;;;;;;;;;;;;;;;;;7;2;;;;;;;;;;;;;;;;;;1;;;;;3;;;1;;;;;;;;;;
27473-5469;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32932-4604;;1;2;1;6;3;1;7;;;;;;;1;;;2;;;;;;1;1;;;;;;;;1;;1;;1;;1;;2;;;1;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
23184-6389;;2;;;12;2;1;8;1;1;4;5;7;;11;;;12;1;;;;;1;1;;;;;;;;;;;;6;1;;;;;;1;;;;;;;;;;;;2;;2;1;1;1;1;;;;;3;;;1;1;;1;;1;;;2;;;2;;;2;;1;1;1;1;1;2;;;;;;;;4;2;1;1;1;1;;;;;;;1;2;;;;;;;;1;;;5;;;3;1;1;;3;;4;;;;
27997-5714;;2;3;;;;;3;;;;1;2;;1;;;;;1;;;1;1;;;1;2;;;;;1;1;1;;;;;;;;;2;;;2;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;1;1;1;;;;;;;;;1;;;1;;1;1;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
