aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;3>2>;3>2>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31>48>30>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>49>;
31499-4605;;14;1;6;2;6;;36;1;;;10;17;;28;;;5;2;2;1;;1;;;;;1;;;;;;;;4;;;4;3;1;;;4;;;;;;;;1;1;1;1;5;;3;;;;;;;;;6;;;1;;;1;;;;1;;;;;;;2;;1;;;;;1;1;;;;1;;;7;;1;1;;;1;1;;;3;;3;1;;;;;;2;;;1;1;2;;;1;1;;;;;1;;1;1;
31005-6398;;1;;;;;;8;;;;1;3;;2;;;;;1;1;1;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;;;;;;;;
31563-6398;;11;1;1;4;6;1;20;1;;;9;15;;16;;;3;1;3;;;;3;1;;1;2;1;;1;;1;1;;;1;;1;;1;;1;6;2;2;2;1;;;;1;;;1;5;;3;;1;1;;;;;;6;1;;;;;1;;;;1;1;;;1;;;1;1;1;;;;;2;1;;1;;2;2;1;7;;1;1;;;2;1;1;;;;2;1;;;;;;2;1;1;2;2;3;;;1;;;1;;;;;1;1;
22316-4130;;6;5;2;1;3;3;26;1;;;10;10;5;14;3;;2;1;;;;1;1;;;;;;;;;3;;2;1;1;;1;1;;;;;;;;;;1;1;2;1;1;2;3;;2;;2;1;;;2;2;1;4;;1;2;1;;1;;;;;;;;;;;6;;3;1;;;;;;2;2;;;1;;4;;4;2;1;;;;;;1;;;2;2;4;2;1;;1;;2;2;;7;1;1;3;2;;;;2;;;1;1;
28338-6388;;4;;;1;4;;18;1;2;;8;11;;3;;;1;;1;1;1;;;;;;1;1;1;1;;;;;;;;;;;2;2;2;1;;;;;;;3;;;3;8;;4;1;1;1;1;;;;;2;;;;;;1;;1;;1;1;;;;;;2;;2;2;1;1;;;;;;1;;1;;6;1;2;2;2;1;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;
36031-5468;;;;;;;;15;;;;1;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;
31005-5468;;4;;;4;1;;24;;;;6;8;;14;;;;;;;;;2;1;;1;;;;1;;;;;;1;;;;1;;;2;;;;;1;;;;;;;4;1;2;;1;;;;;;;4;;;1;;;;;;;;4;1;1;1;;;1;1;;;;;;;;;1;;;1;;6;3;1;;;;;;1;;1;1;;;;;;;;;;2;3;3;5;;3;2;2;1;;;;;;;;
31168-4604;;9;;2;8;4;;19;1;1;;10;10;;18;;;1;;1;;;;;;;;;;;1;;;;;2;3;1;2;2;;;;4;1;;;;;;;;;;1;3;;1;;1;1;1;;;;;5;;;;;;1;;1;;;;;;;;;9;;6;5;5;3;;;;;;;;1;;3;;3;3;3;3;;;;;1;;;1;;;;;;;;;;;3;;;2;;;;;;;;;;
30887-4604;1;7;;;;1;;11;1;;;5;5;;6;;1;4;1;2;;;;2;1;;1;1;1;1;;;;;;;;;;;;1;;4;2;;;;;;;1;;;;2;;2;;;;;;;;;3;;1;;;1;1;;;;1;1;;;1;;;3;1;;;;;;;;;1;;;1;;4;;2;;;;;;;;;;;1;1;;;;;;;;1;1;;;;;;;;;1;;1;;;
36175-6388;;1;;;;;;6;;;;;;;5;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;
27881-4604;;2;;;;;;6;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35904-5469;;5;;;;;;10;;1;;5;4;;4;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;3;;;;;;;;;;;;4;;3;1;;;;;;;;2;;;1;1;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;1;;;;;;;;
30876-4604;;8;1;1;;3;;27;1;1;;23;26;;12;1;;7;;3;2;;;;;;;3;2;;;;1;1;;1;;;1;1;;;;2;1;;;;;;;2;1;1;2;14;;8;;4;1;;1;;;;6;2;;;;;1;1;1;;1;1;;;;1;1;12;;3;;;;1;2;2;;2;1;3;;;17;1;9;3;;;1;1;;;2;;1;4;2;;;;;2;1;;4;2;2;;1;2;;;;;2;1;;;;
32282-5469;;2;3;;;1;;7;;;;;1;;5;;;2;;1;;;;1;;;1;;;;;;1;;;;;;;;;;;1;1;;;;;3;1;;;;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;1;1;;1;;;;;;;
