aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>14>41>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
22977-7118;1;15;;1;;1;78;2;13;;56;56;;3;2;6;13;;41;1;1;2;;1;;1;1;2;5;3;5;3;3;;;;;1;;;1;1;;3;;;2;1;;;1;2;43;32;1;25;18;13;5;;5;;20;3;3;10;5;1;1;2;1;13;1;2;5;8;1;1;4;4;40;6;30;3;22;19;12;8;3;6;5;2;7;1;;1;47;1;39;30;22;19;12;8;2;1;6;5;10;;;;1;3;2;1;;;2;1;2;1;1;6;4;11;9;3;21;4;12;3;;;;;;;;;1;;
31425-4604;2;14;;3;12;7;53;1;;;7;14;1;1;1;6;8;;34;2;6;;1;2;2;2;2;1;1;;2;2;4;1;;;;1;3;;2;1;2;5;;1;;2;;;2;1;1;1;;1;;;;;2;;13;1;;3;1;;;1;;;;;;2;;;;;5;2;2;1;2;1;1;1;1;;1;;;1;;2;3;;3;;;;;;;;;;;2;;;1;2;1;;;;1;3;1;;2;2;3;1;;1;8;;2;2;;;2;1;;2;;;;;
30137-7118;3;13;1;;2;2;35;2;2;;13;16;1;2;2;13;8;1;30;3;;;2;1;;2;1;3;;;2;2;2;2;1;1;;;;;;;1;6;;;;1;;;1;2;5;2;;;;;1;;2;2;8;1;1;1;;;;2;1;2;1;;1;1;1;;1;1;1;;1;;;;;;;;2;;3;;1;;8;;1;1;;;;;;;2;1;2;;;;2;9;5;3;3;3;1;1;2;3;;3;2;3;1;1;4;;;;1;1;1;;;;;;;;
31679-4130;2;8;;;;3;28;1;;;12;12;;1;1;1;6;;28;2;6;5;2;1;;1;1;1;;;;;1;;;;;;;;;;;2;;;;;;;3;;1;;;;;;;;3;;6;;;1;;2;2;1;;;;;;1;;;;;2;;;;;;;;;1;;;2;;;;5;;1;;;;;;;;1;;1;;;;1;1;1;1;1;;;;1;;1;;1;2;1;1;4;1;1;;2;2;1;;;;3;2;4;1;
31420-5468;2;24;1;4;23;6;120;6;15;1;94;77;;3;1;6;14;;57;2;17;16;1;;;1;;1;1;;9;6;3;2;1;;;2;8;4;1;1;2;8;1;;1;1;;;3;2;28;23;1;10;4;3;1;;3;3;21;2;5;5;1;7;5;6;5;15;;3;4;3;;;1;1;30;;13;;8;6;4;3;;3;1;1;6;1;;;62;3;22;11;6;4;3;2;1;1;2;1;4;1;;;;;;;;;;;2;5;1;10;;15;12;1;17;1;8;1;1;;1;;;1;2;12;10;7;
31134-4130;2;12;;1;;1;38;1;;;6;10;2;1;1;4;5;;23;2;;;1;2;2;2;1;1;1;;1;1;1;1;1;;;1;;;1;1;;6;;1;;;;;;9;5;3;1;;;;;1;2;;14;;;6;3;;;1;;;;;;1;;1;;;;;;;;;;;;;3;2;1;;;1;6;1;;;;;;;3;2;;;;;1;;1;3;1;1;;;1;2;1;;;2;5;;;;12;;6;2;1;;2;;;;;;;;
33695-5388;1;10;;1;;1;50;4;16;;44;34;;1;1;5;5;;23;1;;;1;;;;;4;2;;1;1;;1;1;1;;1;;;1;1;;5;1;1;1;;;;1;2;16;6;;1;;;7;;2;;12;;1;3;;;;4;;16;4;7;;13;4;3;1;1;12;5;4;1;;;;;;;1;1;;;;4;23;4;2;;;;;;;;14;10;1;;;;1;5;4;4;3;2;;2;1;1;;1;1;1;;;5;;1;1;1;1;;;;;;;;;
27992-5469;1;4;1;;;;11;;;;;;;1;1;1;4;;14;1;;;1;;;;;1;1;;;;2;1;1;1;1;;;;;;;1;;;;;;;;2;;;;;;;;;;;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;1;2;;;;1;5;;3;;1;1;;;;;;;;;
18030-4130;2;11;10;1;;1;23;4;1;;11;15;3;2;1;5;8;1;8;4;2;3;1;2;2;1;1;2;3;2;1;;1;1;1;1;4;1;;;1;1;;2;;1;;1;5;3;;3;3;2;1;;;;;;1;;6;;;3;1;2;2;3;;;;;;2;1;;;;;;;;;;;;;;6;4;;;;4;9;2;;;;;;;6;4;1;;1;1;3;3;1;2;1;1;1;1;;1;1;;1;2;;;;2;4;;2;1;1;1;2;;;;;1;3;1;
10127-5469;1;11;;;;1;37;1;;;3;9;;1;1;7;8;1;29;1;2;;1;1;1;1;1;2;3;3;;;2;1;1;1;;;;;;;;4;;;;;;;1;1;2;;;;;;;;3;2;14;1;1;5;2;;;1;1;;;;;1;;1;;;;;;;;;;;;;1;;;;2;1;1;1;;;;;;;;;;;1;;;;1;2;1;;;;1;1;1;2;;5;;4;;1;11;2;6;4;1;1;1;2;;;;;;;
