aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
36285-5468;2;36;2;1;25;8;182;4;26;2;143;126;14;3;1;20;22;3;69;2;8;6;2;;;;;3;6;4;3;1;6;;;1;1;5;1;1;1;8;;;2;3;1;;2;12;71;56;8;12;7;5;2;8;4;34;2;2;10;2;2;4;3;26;8;;5;27;;6;1;5;7;7;32;2;18;2;12;8;3;;1;2;;4;;3;1;;10;91;12;5;5;23;12;9;6;3;;2;;1;8;3;5;2;5;1;4;1;7;1;2;1;1;;;2;7;3;7;1;6;2;6;3;2;19;3;4;;;2;2;;;2;;5;4;
31286-6388;1;18;2;1;4;7;57;;1;1;10;21;2;3;1;16;8;;49;1;3;3;;1;1;1;1;;4;2;2;1;3;;;;1;;1;1;3;6;;1;1;1;;;3;1;11;3;;2;1;;;6;2;15;;;5;2;2;;;;;;1;1;;;;1;;;7;;4;;3;3;3;2;1;1;;1;1;2;;;4;8;;;;6;3;2;2;2;1;;;;;;1;;1;1;1;1;8;1;4;3;3;2;1;1;1;3;3;2;2;;1;1;;12;;2;;;;;1;;;;2;2;
36128-5388;3;26;7;8;7;8;79;1;6;;63;37;12;2;;6;10;3;36;5;1;1;2;1;1;1;1;3;2;3;2;;;3;3;3;7;;3;3;1;5;1;;1;;3;1;2;1;17;16;;6;4;3;;3;;5;;1;;;;1;1;6;1;1;2;13;1;2;2;1;1;1;19;3;12;3;6;4;2;1;1;;1;4;3;1;1;1;2;32;1;;;11;8;5;4;2;1;1;1;;1;1;;;5;;1;;5;;4;2;;;;;;2;1;;2;;3;2;2;14;;5;3;1;3;1;1;;;;;1;
35872-5468;;8;1;;20;6;44;1;2;1;13;11;4;1;1;15;6;;29;;5;;;;;;;4;1;1;;;2;;;;;9;;;2;2;1;;;;;;2;7;7;6;1;;;;;;;10;2;1;1;;;1;;2;;1;;5;;2;1;;1;1;1;1;1;1;1;;;;;;;3;2;;1;;;9;3;1;1;;;;;;;3;2;;;;;2;;;;;5;;1;1;1;1;1;1;1;1;;2;4;;1;1;;8;;3;1;1;;;;1;;;;;
11848-7098;1;6;;;;;18;1;2;;12;11;;1;1;6;2;;3;1;2;;;1;1;;;;1;1;1;1;;;;;;;;;;2;;;1;;;;;1;6;6;1;2;2;1;;1;;1;;;;;;1;1;2;;;1;2;;1;1;;;;4;1;3;1;2;;;;;;;2;1;;2;;1;9;1;;;4;3;2;;;;;;1;;;1;1;;1;;1;3;1;3;2;1;1;1;;1;1;;;;;;;;;;;;;;;1;;1;1;;;
36094-5388;2;14;;2;11;7;41;1;8;2;34;17;1;;;;4;;16;3;12;2;1;2;2;1;1;5;3;3;2;1;1;;;;2;4;2;2;;4;2;;1;;;;3;4;4;3;;1;1;;;2;;6;;;1;1;;1;1;7;;2;;1;;;;;3;1;9;;3;;1;1;1;1;;1;1;;;1;4;;;11;1;1;;4;2;1;1;1;1;;;2;2;1;1;;1;;;;;;;;;;;;1;;;3;;2;2;;;4;1;3;3;3;1;1;2;;2;5;;2;
30907-5388;4;15;1;;;;28;;;;2;4;;1;1;3;3;;16;4;;;2;2;2;3;2;3;1;;;;1;2;2;1;;;;;;4;1;;;;;;;;3;1;1;;;;;1;;4;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;1;;;1;;1;3;1;;;;;;;1;1;;;;;;;;8;;2;1;1;2;1;3;;;;;;
28007-5388;3;31;1;1;;3;53;1;1;;24;25;;1;1;4;6;;31;4;2;1;;3;3;1;;6;2;1;1;;5;1;;;1;;1;1;;8;;;;2;;;1;2;11;8;;2;;;;4;;12;2;1;1;1;;1;;1;;;;1;;;;1;;;8;1;2;1;2;1;1;;;;1;;;1;2;2;;18;;;;5;1;1;;;;;;1;;;;;;;;1;1;;1;;;;;1;;1;1;1;3;;1;1;;5;;1;;;;;3;1;;1;;1;
3559-7274;;7;;;;;33;2;5;;25;25;;1;1;3;3;;22;1;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;2;12;9;;;;;;2;;8;3;;2;2;;2;1;4;;1;1;1;;;;;2;2;7;;3;;1;;;;2;;;4;2;3;;1;2;17;1;2;2;4;3;1;;;;2;1;;;;2;;;;1;;2;;1;;;;;1;;1;;;4;1;2;1;1;4;;3;;;;;;;;;;;
29800-5468;1;5;;;1;1;23;1;1;1;7;12;;;;;1;;7;1;1;;1;;;;;1;;;;;1;1;1;;;;;;1;2;;;;;;;1;2;6;4;;3;2;2;;;;3;;;1;;;1;;1;;;;2;1;;;;1;1;5;2;4;2;3;2;2;2;;;1;1;1;1;1;1;1;7;;1;1;5;4;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;;;
