aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>41>;2>14>;2>14>2>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>3>;14>3>2>;14>7>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30>48>30>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>31>;32>31>30>;41>2>;41>2>2>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
30676-6388;;4;;;10;4;13;;3;;5;11;;;9;;;;;;;1;;1;;;;;;;;4;;;;2;1;2;;;;;;;1;;;5;;2;;;;;;;;3;;1;;;;;;1;;;;;;;;;1;1;3;;;2;;1;;;;;;1;;;;;1;;;1;2;;4;;1;1;2;1;;;;;;;;;2;1;1;1;;;;;1;;;1;;;2;1;;;;;;;;;;;;;
30991-5468;;8;1;;3;1;16;1;6;;19;10;2;;13;1;;;;;;;;;3;2;1;1;;;;1;;;;;;2;;;1;1;;;1;;;2;;1;;;;;;1;;5;3;;;;;1;1;5;1;1;;2;;;;2;1;1;6;;;1;;1;;;;;1;;;2;2;1;;;;;;;7;1;;;3;1;1;;;;;1;1;;1;;;;;;;;4;;;2;1;1;2;;;1;1;;;;;;;;;;
13179-5714;1;10;2;1;;1;19;;;;3;13;2;;10;1;1;;5;1;1;1;;;1;1;;;3;1;;;;;;;1;4;2;1;;;1;;;1;;4;;1;;;;;;1;;4;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;1;;3;;;;;;;;;;;1;;;1;;1;;;;1;;3;1;;3;1;;3;2;;1;;;;;;;;;;;
31109-6398;1;14;;;13;1;32;1;;;5;8;;1;10;1;;;3;2;;5;;;2;;;;;;;3;1;;;1;;12;3;3;;;;;;8;2;6;;1;;1;;;;3;;4;;;;;;1;1;;;;;3;1;;;;;;3;;1;1;;1;;;;;2;1;;2;2;1;1;;;2;1;;4;1;;;3;1;1;;;;;;;;4;3;;;;;;;;;1;;;;1;;;;;;;;;;;;;;
271-7274;;2;;;4;1;12;1;;;5;8;1;;15;;4;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;1;;2;;;;;;;;;;6;;;3;;;1;1;;;;;2;1;;;1;;;2;;;1;;1;1;;;;;;;;;;;;;;;;2;1;;;1;;;;;;;;;;1;;1;;2;1;;;1;;;3;1;1;6;1;2;;;;;;1;3;;;;;
36252-7118;1;7;;1;2;2;18;1;4;;16;14;;;9;1;1;1;;;;1;;1;;;;;;;1;;;1;1;1;;5;;1;;;;;1;2;1;9;1;8;2;2;1;1;;1;;3;;;2;1;;1;1;4;1;3;;7;3;2;2;2;1;1;6;;2;1;1;1;;;;;;;;1;1;;;;;;1;;11;5;1;1;3;1;1;;;;;1;1;;1;1;;;;;;;;;1;1;1;;2;;1;1;;;;;;;1;;;;
36373-5469;1;13;;2;1;4;45;1;;;11;16;;;29;1;;2;;;;4;;2;1;;;;;;2;;;2;2;;;5;;1;;;;;2;3;1;7;;3;;;;;;;;10;1;1;;;1;1;1;;;;;1;;;;;;;3;;;2;;1;1;;;;;1;;1;1;;1;;;;2;;7;;;;1;1;;;;;;1;1;;;;;;;;;;1;;1;2;1;;3;;1;1;1;1;;;;;;2;;1;
36691-5714;;5;;;;1;12;2;;;5;9;2;;7;;;;1;;;1;;1;;;;;2;;;;;;;;;1;;1;;;;;1;;;7;;3;;3;3;1;1;;;2;1;;;;;2;;;;;1;2;;1;;;;;5;1;2;4;2;2;2;;;;3;;;3;2;1;;;;;2;1;5;;;;5;4;2;2;;;;1;;;;;;;;;;;1;1;;;;;2;;;;;;;;;;;;;;
21251-5469;;3;;;7;3;11;2;;1;2;5;;;12;;6;;;;;1;;1;;;;;;;;1;;;;1;;;;;;;;;1;;;2;;;;;;;;;;3;;;;;;2;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;2;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;1;1;;3;;;;;
31478-5714;;2;;2;;1;7;;1;;4;5;;;12;;1;;1;1;;;;;1;1;;;;;2;;;1;1;;;2;1;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;1;;;;;3;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;2;;;1;1;1;1;;;;;;;;
