aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;17>30>31>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
18217-4605;1;15;6;4;5;6;;23;1;4;;14;7;;;9;1;4;3;;;;;;;;;;;2;4;1;;2;2;1;1;1;1;;;;;;4;2;3;1;1;;1;;;;;;;;;;;;2;1;;1;;;;1;;4;;;;;;;;;;;;2;;;2;;2;2;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;2;;1;;;2;;;;;;;;1;;2;2;2;1;
28102-5388;1;12;;;7;2;;36;1;1;;12;11;;;20;1;3;2;3;;;;;;;;;;;;1;;;;1;;1;6;2;;;;;;;1;;1;;2;;1;;1;1;1;1;;;;;8;;;;;1;;1;1;1;;;;;;;;;;;;3;;;3;;3;2;2;2;1;;;;;;2;;;;;7;;1;1;1;1;1;1;;;1;;;;;;1;;;;;1;1;;2;;;2;2;;;2;2;1;1;1;1;1;
14004-4604;1;14;;1;;1;;22;1;;;8;9;;1;10;1;2;2;4;2;;;;;3;1;1;1;;1;;;1;1;;;;7;4;;;;;;;;;1;;1;;1;;;;;;;;;;5;1;;1;;1;;1;1;;;;;;2;;;;1;;;7;;2;2;1;1;;;;;1;;1;;;;;;;;5;;4;1;1;;;;;;;;;;1;;;;;2;;;;;1;;;;;;;;;;2;1;1;;
27420-7274;;;;;;;;6;;;1;2;3;1;;7;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;1;;;;;;;;;;;;;;;;;1;;;1;;1;1;1;1;;;1;;;;;2;;1;1;1;;1;1;1;1;1;1;;;;;;;;;1;1;1;;;;1;;3;;;1;1;1;1;1;1;1;;1;;;
36368-5388;;8;;1;;1;;9;;2;;11;9;;;13;;;;4;2;;;;;3;3;3;2;;1;;;;;;;1;3;3;;;;;;;1;;;;1;;;;;;;;;;1;;2;;;1;1;;;;;2;;;;;;;;;;;;4;;;3;;3;3;2;2;1;;;1;;;2;;;;;6;;4;3;3;3;2;2;;;1;;;;1;;;;;2;;;3;2;6;1;1;3;1;;;;;;;;;;
22977-7118;1;8;;1;;1;;39;2;9;;32;30;;1;18;1;1;2;1;1;3;2;;1;3;2;1;2;;1;;;1;1;;;;2;;;2;1;;;;1;1;2;2;21;;17;1;12;11;9;7;;2;1;;9;2;1;5;2;1;1;2;1;9;;2;;3;4;;1;1;;2;2;20;2;3;16;2;13;11;8;5;4;;1;;;;4;1;;1;;25;1;19;16;13;11;8;5;;;1;;3;2;4;3;;;;5;;2;6;5;10;2;2;4;;;;;;;;1;;1;
31425-4604;1;8;;;8;3;1;23;1;;;5;12;;1;13;1;4;;1;1;1;1;;;2;2;2;1;;;1;;;;1;;;3;;1;;;1;;;;;;;1;;1;;1;;;;;;;;5;1;;1;;;;1;;;;;;;1;;;;;;;3;;1;;;;;;;;1;1;1;;;;1;;2;;3;;3;;;;;;;;;;;;;;1;;;1;;1;;;4;;;1;1;1;;2;;;;;;;
30137-7118;1;9;1;;2;2;;16;2;2;;11;14;1;2;15;1;;;3;2;;;;;2;2;;2;;;;;;;1;;;3;;;;;1;;;1;;1;;5;;2;;;;;;;1;1;;4;1;1;1;;;;2;1;2;1;;1;1;1;;1;;;1;1;1;;;1;;;;;;;;;2;;;2;;1;;;7;;1;1;;;;;;;2;;2;1;1;1;;;;3;1;1;3;1;4;;;;;;;;;;;;;;
31679-4130;;4;;;;3;;14;1;;;10;10;;;14;;6;5;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;;;;1;;;;;;;;;;;;2;;;1;;2;2;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;3;;;;;;;;;;;;1;;1;;;;;;;;2;1;2;;1;1;;;;;3;2;2;4;1;1;
31420-5468;1;15;;3;17;5;;40;1;10;;47;28;;1;18;1;3;5;1;1;1;;1;;4;4;2;2;;1;6;4;;;2;;;6;1;;1;1;1;;;2;;1;1;11;;10;1;4;2;1;1;;;1;;6;1;;2;1;4;3;1;1;10;;2;;2;1;;;;;1;1;16;;;7;;5;4;2;2;;;;;;;2;;;;;24;1;10;5;3;2;1;1;;;2;;;;3;;;;;6;;;5;4;8;3;1;5;1;;;;1;1;2;4;2;4;
31134-4130;1;7;;1;;1;1;25;1;;;5;9;2;;12;1;;;1;1;;;;;1;1;;1;;1;;;1;1;;;;5;;;;;;;;;;9;2;4;;2;;;;;;2;;;1;7;;;3;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;1;;;1;;5;;;;;;;;3;2;1;;;;;;;1;;1;;3;;;6;1;;3;;;;;;;;;;;
33695-5388;;5;;;;;;18;2;6;;10;12;;2;9;;;;2;;1;;1;;;;;;;;;;;;;;;3;1;1;;;;;;;;2;;6;;;;;;;;;4;1;;5;;;2;;;;2;;6;2;1;;;4;1;2;;1;1;1;2;;1;1;1;;;;;;;;;;;;;;2;;5;1;1;;;;;;;;;;6;4;1;;;;;1;;1;;;3;;;;;;;;;;;;;;
27992-5469;;1;;;;;;6;;;;;;;;10;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;;;2;;;;;;;;;;;
18030-4130;;3;2;1;;1;;11;1;;;3;5;;1;4;;1;3;;;;;;;1;;;1;1;1;;;1;1;;;;1;;;;;1;;;;;1;;1;;1;;;;;;1;;;;3;;;3;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;3;1;2;;;;;;;;2;1;;;;;1;;;;;2;1;;;;3;1;;2;1;;;;;;1;3;1;1;
10127-5469;;6;;;;;1;25;1;;;3;9;;1;26;;2;;1;;1;;;1;;;;2;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;;;12;1;1;5;2;;;1;1;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;;;;2;1;1;1;1;;;;;;;;;;;;;1;;;;;4;;;4;;10;;2;6;4;2;;;;;;;;;
32005-4604;;2;;;;;;8;1;;;5;7;;;6;;4;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;1;;;;;;;;;;2;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;4;;;;;;;;;;1;;1;;;;3;;;1;;;3;2;1;1;;;;1;;1;2;2;;;;;
35994-5468;;4;;1;;1;;20;1;1;;14;12;;;4;;1;;1;1;;;;;2;1;1;2;;1;;;1;1;;;;4;;;;;2;;;;;7;4;7;;3;;;;;;;;1;;1;;;1;;;;1;1;1;;;;1;;;;;;;;7;1;;2;;1;1;1;1;1;;;;;;;;;;;8;;4;2;1;1;1;1;;;;;1;1;1;1;1;;;2;;;;;2;;;;;;;;;;;;;;
33035-4605;1;21;;4;20;19;3;66;2;5;2;40;54;4;2;30;1;14;1;6;2;3;1;1;1;2;;;4;;4;6;3;4;4;2;4;1;8;2;;;;1;;;10;2;8;2;25;1;17;;8;1;1;;;1;2;;11;4;2;3;2;1;;2;2;5;;;4;2;5;;1;1;2;1;1;16;;2;5;1;3;1;1;1;;1;1;9;6;3;;3;2;4;;33;3;14;3;2;1;1;1;2;1;;2;5;3;6;1;2;3;;6;2;1;6;3;6;1;1;3;3;3;1;4;3;1;1;;;;
35833-5469;1;8;;;;;;11;;;;3;4;;;6;1;1;;1;;;;;;1;;;2;;;;;;;;;;3;;;1;;1;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;1;;;;;1;;;;3;;2;1;;;;;;;;;;;;;;;;1;;;3;3;2;1;1;;;;;1;;;;;;;
36389-5469;;9;1;1;2;3;1;28;1;1;;7;12;;;22;;;;2;1;;;;;3;2;;2;1;1;;;1;1;1;;;1;;;;;;;;2;;1;;2;;1;;;;;;;;;;9;2;;3;1;;;1;1;1;;1;;1;;;;;;;;1;;;1;;1;1;;;;;;;;;2;;;1;1;6;;;;;;;;;;1;;;;2;1;;;;4;;;4;2;11;1;2;4;3;;;;;;;;;;
22212-4604;1;14;9;;;;;28;1;;;6;20;;4;21;1;4;;7;3;;;;;4;1;1;3;3;;;;;;;;;1;1;;;;;6;1;;;6;;11;;1;;;;;;;2;;;5;;;4;1;;;1;1;;;;;1;;;;;;;;3;1;;1;;;;;;;1;;1;1;;2;1;4;1;1;6;;2;;;;;;;;;1;2;1;1;;3;;;4;;1;3;1;11;3;1;6;5;;;1;3;1;;;;;
30708-5468;2;15;4;;;1;;23;;1;;4;4;;;18;2;2;;1;;1;;;;;;;2;4;;;;;;;;;5;;;;;;4;4;;;1;;;;;;;;;;;;;;6;1;;2;1;;;;;1;;1;;;;;;;;;;2;;;1;;1;1;1;1;;1;;2;2;;;;;;;3;;1;1;1;1;1;1;;;;;;;;;;;;1;;;;;3;;;1;1;;;;;;;;;;
36050-5469;;4;;;7;4;;25;1;;;9;13;;;19;;3;;;;;;;;1;1;1;;;;1;;;;1;;1;2;;;;;;;;2;;1;;6;1;3;1;1;1;1;1;;1;;;4;;;1;;;;1;1;;;;;1;3;;1;;;;;5;1;2;4;1;4;4;3;1;1;;1;;;;;2;;2;1;7;1;4;3;3;3;2;1;;;;1;1;;1;;;;;1;;;1;;6;;;;;;;2;;;;;;;
36316-5468;2;12;;;;1;;32;2;7;1;20;17;1;;17;2;6;3;1;;4;;1;1;1;;;1;;;;;;;;1;;7;;1;;;1;;;;;1;1;7;;5;;;;;;;;;;8;3;1;1;;2;2;2;2;7;2;;3;;5;3;1;1;1;1;1;2;;1;1;1;;;;;;1;;5;4;1;;2;;2;;14;1;2;1;;;;;2;1;;2;;;;;1;;;4;;;2;2;2;;;;;2;1;1;;;2;3;2;;
36634-7098;;14;;4;2;7;;57;2;4;1;44;48;;1;28;;10;3;5;1;2;1;1;;3;2;1;;;4;;;4;4;1;;2;4;2;;;;;;;4;2;1;;31;;23;2;12;7;5;4;2;2;3;;8;1;;1;;;;1;1;4;2;;;3;7;1;4;4;;1;1;23;2;3;16;2;9;7;6;2;2;2;;3;2;1;5;1;1;;;38;2;20;13;7;5;4;1;2;2;2;1;3;2;5;3;3;;;2;;1;5;2;6;;1;;;;1;2;1;;2;2;2;1;
35640-5388;;7;1;4;1;2;;39;;5;;21;16;2;;19;1;3;;2;;1;;1;;;;;;;2;;;1;1;1;;;6;2;1;;;;;;1;1;;;10;;8;;;;;;1;;;;11;;;1;;;;;;5;3;;;;5;;2;1;2;;;4;;2;2;1;2;1;1;1;1;;;1;;;;1;;1;;14;;3;2;2;1;1;1;1;;;1;;;;;1;1;;;;;1;1;3;;1;1;1;1;;;1;;;;;;
